d,r,s,exact_work_ratio,eq6b_ratio,rounding_difference_percent,relative_work_residual
0.7,0.5,1.12,1.457885376519632,1.4586894586894585,0.05515400475077731,-1.2708751811982578e-16
0.7,0.5,1.4,1.5376134830480495,1.5384615384615385,0.05515400475078881,0.0
0.7,0.7,0.8,1.5854503469650998,1.586324786324786,0.05515400475076995,-7.790805708495067e-17
0.7,0.7,1.0,1.697069696104884,1.698005698005698,0.05515400475079551,-1.4556780598959913e-16
0.7,0.7,1.12,1.764041305588755,1.7650142450142448,0.05515400475076144,-7.002067114039987e-17
0.7,0.7,1.4,1.9203083943844526,1.9213675213675212,0.05515400475079144,-1.2864533269543458e-16
0.7,1.0,0.8,2.0501513107307328,2.051282051282051,0.05515400475076715,-1.2049779495805704e-16
0.7,1.0,1.0,2.277945900811925,2.2792022792022792,0.05515400475079315,-1.6267202319337703e-16
0.7,1.0,1.12,2.414622654860641,2.415954415954416,0.055154004750773276,0.0
0.7,1.0,1.4,2.73353508097431,2.7350427350427347,0.05515400475076715,-4.5186673109271385e-17
0.7,1.2,0.8,2.4510697892736313,2.4524216524216524,0.0551540047507901,-5.0394059229670695e-17
0.7,1.2,1.0,2.779093998990549,2.7806267806267804,0.05515400475076182,0.0
0.7,1.2,1.12,2.975908524820699,2.9775498575498576,0.055154004750786655,-8.301287160307053e-17
0.7,1.2,1.4,3.435142418424383,3.4370370370370367,0.055154004750773186,-1.0787269442531632e-16
0.75,0.3,0.8,1.246612248151503,1.247418181818182,0.06464990760952957,0.0
0.75,0.3,1.0,1.2675441702286734,1.2683636363636364,0.06464990760954224,-4.872388632990523e-17
0.75,0.3,1.12,1.2801033234749761,1.2809309090909091,0.06464990760952186,0.0
0.75,0.3,1.4,1.309408014383015,1.3102545454545453,0.0646499076095324,4.7166106660387823e-17
0.75,0.5,0.8,1.3954614718113838,1.3963636363636363,0.0646499076095158,4.425753008299724e-17
0.75,0.5,1.0,1.4536056998035247,1.4545454545454546,0.06464990760953172,-4.248722887967735e-17
0.75,0.5,1.12,1.4884922365988094,1.4894545454545456,0.06464990760953471,4.149143445280991e-17
0.75,0.5,1.4,1.5698941557878068,1.570909090909091,0.06464990760953172,0.0
0.75,0.7,0.8,1.6187353073012052,1.619781818181818,0.06464990760951361,3.8153043174997624e-17
0.75,0.7,1.0,1.7326979941658014,1.7338181818181817,0.0646499076095266,7.128729677798214e-17
0.75,0.7,1.12,1.8010756062845594,1.8022399999999998,0.06464990760951139,0.0
0.75,0.7,1.4,1.960623367894994,1.9618909090909091,0.0646499076095367,6.300004282277187e-17
0.75,1.0,0.8,2.093192207717076,2.0945454545454547,0.06464990760951049,5.901004011066297e-17
0.75,1.0,1.0,2.32576911968564,2.327272727272727,0.06464990760951261,-5.3109036099596695e-17
0.75,1.0,1.12,2.465315266866778,2.466909090909091,0.06464990760953893,0.0
0.75,1.0,1.4,2.7909229436227676,2.7927272727272725,0.0646499076095158,4.425753008299724e-17
0.75,1.2,0.8,2.502527572781748,2.504145454545455,0.06464990760955018,-9.871568048252174e-17
0.75,1.2,1.0,2.8374383260164806,2.839272727272727,0.06464990760951293,4.35319968029481e-17
0.75,1.2,1.12,3.0383847779573196,3.040349090909091,0.06464990760952377,8.130593401652891e-17
0.75,1.2,1.4,3.507259832485944,3.5095272727272726,0.06464990760953578,-7.043638739999562e-17
