panel,x,eq6b,eq12a,eq12b,eq16A,eq16B
10a,0.5728125,1.4815275412351838,1.2258026874999999,1.2954459091949233,1.2458751722954153,1.2731487839235385
10a,0.575,1.4825413047181057,1.226665,1.2957839391566515,1.2462503296073344,1.2723171447914523
10a,0.5771875,1.4835603285353636,1.2275273125,1.2961210701245283,1.2466246315558303,1.2714911811509535
10a,0.579375,1.4845846315258258,1.228389625,1.2964573078830148,1.2469980833218621,1.270670832979522
10a,0.5815625,1.4856142326631112,1.2292519375,1.2967926581576819,1.2473706900355874,1.2698560411128872
10a,0.58375,1.4866491510565516,1.23011425,1.297127126616029,1.247742456777048,1.2690467472295839
10a,0.5859375,1.4876894059521621,1.2309765625,1.2974607188682872,1.2481133885768467,1.2682428938358443
10a,0.588125,1.4887350167336235,1.231838875,1.2977934404682103,1.2484834904168094,1.2674444242508154
10a,0.5903125,1.4897860029232706,1.2327011875,1.2981252969138508,1.2488527672306389,1.2666512825920933
10a,0.5925,1.490842384183094,1.2335635,1.2984562936483222,1.2492212239045555,1.2658634137615685
10a,0.5946875,1.4919041803157487,1.2344258125,1.298786436060549,1.2495888652779275,1.2650807634315737
10a,0.596875,1.4929714112655745,1.235288125,1.2991157294860032,1.2499556961438911,1.264303278031325
10a,0.5990625,1.494044097119625,1.2361504375,1.299444179207428,1.2503217212499593,1.263530904733651
10a,0.6012500000000001,1.4951222581087062,1.23701275,1.2997717904555497,1.250686945298622,1.2627635914420012
10a,0.6034375,1.4962059146084286,1.2378750625,1.3000985684097761,1.2510513729479331,1.2620012867777293
10a,0.605625,1.4972950871402644,1.238737375,1.3004245181988854,1.2514150088120921,1.2612439400676414
10a,0.6078125,1.4983897963726203,1.2395996875,1.3007496449017004,1.2517778574620122,1.2604915013318057
10a,0.61,1.4994900631219161,1.240462,1.3010739535477545,1.2521399234258812,1.2597439212716135
10a,0.6121875,1.500595908353678,1.2413243125,1.3013974491179434,1.252501211189712,1.2590011512580912
10a,0.614375,1.5017073531836391,1.242186625,1.3017201365451685,1.2528617251978846,1.2582631433204499
10a,0.6165625,1.502824418878854,1.2430489375,1.3020420207149672,1.25322146985368,1.2575298501348735
10a,0.61875,1.5039471268588211,1.24391125,1.3023631064661356,1.2535804495198037,1.2568012250135365
10a,0.6209375,1.5050754986966193,1.2447735625,1.3026833985913369,1.2539386685189018,1.256077221893844
