point,pdf_x_pt,pdf_y_pt,step,displacement_mm
64,387.1199951171875,294.29998779296875,11.559446616875235,178.31986231525076
65,387.5400085449219,293.52001953125,11.659966782989502,181.84275477564339
66,387.8999938964844,292.739990234375,11.74612066509979,185.3659229142941
67,388.739990234375,291.9000244140625,11.94715369367606,189.15980710240925
68,389.1000061035156,291.1199951171875,12.033314879438613,192.68297524105995
69,396.3599853515625,291.1199951171875,13.770817234866467,192.68297524105995
70,396.7799987792969,291.47998046875,13.871337400980735,191.0570248747249
71,397.55999755859375,291.47998046875,14.05801144920529,191.0570248747249
72,397.9800109863281,291.9000244140625,14.158531615319555,189.15980710240925
73,406.0199890136719,291.9000244140625,16.082708018971967,189.15980710240925
74,407.6400146484375,291.9000244140625,16.470422399425054,189.15980710240925
75,408.05999755859375,292.32000732421875,16.57093526188706,187.26286500835167
76,410.8800048828125,292.32000732421875,17.245836553026706,187.26286500835167
77,411.239990234375,291.9000244140625,17.331990435136994,189.15980710240925
78,411.6600036621094,291.9000244140625,17.43251060125126,189.15980710240925
79,412.0799865722656,291.47998046875,17.533023463713267,191.0570248747249
80,412.5,291.47998046875,17.633543629827532,191.0570248747249
81,413.2799987792969,290.70001220703125,17.820217678052085,194.57991733511753
82,413.70001220703125,290.280029296875,17.920737844166354,196.47685942917508
83,414.05999755859375,289.91998291015625,18.006891726276642,198.10308547376826
84,414.4800109863281,289.08001708984375,18.10741189239091,201.89696966188336
85,414.8999938964844,288.29998779296875,18.20792475485291,205.4201378005341
86,415.32000732421875,287.46002197265625,18.30844492096718,209.21402198864922
87,415.67999267578125,286.67999267578125,18.394598803077468,212.73719012729995
88,416.1000061035156,285.9000244140625,18.495118969191733,216.26008258769255
89,416.5199890136719,284.6400146484375,18.595631831653737,221.95118454812334
90,416.8800048828125,283.44000244140625,18.68179301741629,227.37129478083165
91,417.29998779296875,282.239990234375,18.78230587987829,232.79140501353993
92,417.7200012207031,280.6199951171875,18.88282604599256,240.1084573403058
93,418.1400146484375,279.05999755859375,18.983346212106827,247.15451793934912
94,418.5,278.6400146484375,19.069500094217116,249.0514600334067
95,418.9200134277344,278.219970703125,19.17002026033138,250.94867780572238
