mass_ratio,gamma,zeta_t,positive_frequency_integral,two_sided_integral
0.853,0.043000000000000003,0.3895,0.008957359880611969,0.017914719761223937
0.853,0.043000000000000003,0.406,0.008879967448593241,0.017759934897186483
0.853,0.043000000000000003,0.42250000000000004,0.00880432319177674,0.01760864638355348
0.853,0.043000000000000003,0.43900000000000006,0.008730366779302487,0.017460733558604974
0.853,0.043000000000000003,0.4555,0.008658041846420973,0.017316083692841946
0.853,0.043000000000000003,0.47200000000000003,0.008587295506890481,0.017174591013780962
0.853,0.043000000000000003,0.48850000000000005,0.008518077953657034,0.01703615590731407
0.853,0.043000000000000003,0.505,0.008450342128238133,0.016900684256476266
0.853,0.043000000000000003,0.5215000000000001,0.00838404344416913,0.01676808688833826
0.853,0.043000000000000003,0.538,0.008319139553408648,0.016638279106817297
0.853,0.043000000000000003,0.5545,0.008255590147219594,0.01651118029443919
0.853,0.043000000000000003,0.5710000000000001,0.008193356784956224,0.016386713569912448
0.853,0.043000000000000003,0.5875,0.008132402745672108,0.016264805491344216
0.853,0.043000000000000003,0.6040000000000001,0.008072692898499928,0.016145385796999857
0.853,0.043000000000000003,0.6205,0.008014193588642037,0.016028387177284074
0.853,0.043000000000000003,0.637,0.007956872536413745,0.01591374507282749
0.853,0.043000000000000003,0.6535000000000001,0.00790069874729554,0.01580139749459108
0.853,0.043000000000000003,0.67,0.007845642431330426,0.015691284862660852
0.853,0.043000000000000003,0.6865,0.007791674930507888,0.015583349861015776
0.853,0.043000000000000003,0.7030000000000001,0.007738768653027597,0.015477537306055195
0.853,0.043000000000000003,0.7195,0.007686897013503371,0.015373794027006742
0.853,0.043000000000000003,0.736,0.007636034378358168,0.015272068756716335
0.853,0.043000000000000003,0.7525000000000001,0.007586156015753675,0.01517231203150735
0.853,0.043000000000000003,0.769,0.007537238049514331,0.015074476099028662
0.853,0.043000000000000003,0.7855000000000001,0.00748925741659431,0.01497851483318862
0.853,0.043000000000000003,0.802,0.007442191827677098,0.014884383655354196
0.853,0.043000000000000003,0.8185,0.007396019730602966,0.014792039461205933
0.853,0.043000000000000003,0.8350000000000001,0.007350720276296841,0.014701440552593682
0.853,0.043000000000000003,0.8515,0.007306273286986398,0.014612546573972795
0.853,0.043000000000000003,0.8680000000000001,0.007262659226461369,0.014525318452922738
0.853,0.043000000000000003,0.8845000000000001,0.007219859172204572,0.014439718344409144
0.853,0.043000000000000003,0.901,0.007177854789221155,0.01435570957844231
0.853,0.043000000000000003,0.9175000000000001,0.007136628305415071,0.014273256610830141
0.853,0.043000000000000003,0.934,0.007096162488397037,0.014192324976794074
0.853,0.043000000000000003,0.9505,0.007056440623587891,0.014112881247175782
0.853,0.043000000000000003,0.9670000000000001,0.007017446493541856,0.014034892987083712
0.853,0.043000000000000003,0.9835,0.0069791643583704535,0.013958328716740907
0.853,0.043000000000000003,1.0,0.006941578937205004,0.013883157874410008
0.853,0.059500000000000004,0.01,0.01364196875279098,0.02728393750558196
0.853,0.059500000000000004,0.026500000000000003,0.011909778122725449,0.023819556245450898
0.853,0.059500000000000004,0.043000000000000003,0.011376940899341022,0.022753881798682044
0.853,0.059500000000000004,0.059500000000000004,0.011050677744427277,0.022101355488854554
0.853,0.059500000000000004,0.076,0.010800021914922424,0.02160004382984485
0.853,0.059500000000000004,0.0925,0.010587265476691258,0.021174530953382516
0.853,0.059500000000000004,0.109,0.010397390724968423,0.020794781449936846
0.853,0.059500000000000004,0.1255,0.010223164362451386,0.020446328724902773
0.853,0.059500000000000004,0.14200000000000002,0.010060622408692798,0.020121244817385597
0.853,0.059500000000000004,0.15850000000000003,0.009907374540645933,0.019814749081291865
0.853,0.059500000000000004,0.17500000000000002,0.009761867186116015,0.01952373437223203
0.853,0.059500000000000004,0.1915,0.00962302718246061,0.01924605436492122
0.853,0.059500000000000004,0.20800000000000002,0.009490074719590121,0.018980149439180242
0.853,0.059500000000000004,0.22450000000000003,0.009362418505493351,0.018724837010986702
0.853,0.059500000000000004,0.24100000000000002,0.009239593773290282,0.018479187546580563
0.853,0.059500000000000004,0.2575,0.009121223933350723,0.018242447866701445
0.853,0.059500000000000004,0.274,0.009006995919794834,0.01801399183958967
0.853,0.059500000000000004,0.29050000000000004,0.008896643800431111,0.017793287600862222
0.853,0.059500000000000004,0.30700000000000005,0.008789937552969172,0.017579875105938343
0.853,0.059500000000000004,0.3235,0.008686675172931134,0.01737335034586227
0.853,0.059500000000000004,0.34,0.008586676990001027,0.017173353980002054
0.853,0.059500000000000004,0.35650000000000004,0.008489781484634477,0.016979562969268953
0.853,0.059500000000000004,0.373,0.008395842146703006,0.016791684293406012
0.853,0.059500000000000004,0.3895,0.008304725072642896,0.01660945014528579
0.853,0.059500000000000004,0.406,0.008216307095770793,0.016432614191541586
0.853,0.059500000000000004,0.42250000000000004,0.00813047430815896,0.01626094861631792
0.853,0.059500000000000004,0.43900000000000006,0.008047120874663015,0.01609424174932603
0.853,0.059500000000000004,0.4555,0.007966148068189531,0.015932296136379063
0.853,0.059500000000000004,0.47200000000000003,0.00788746347485351,0.01577492694970702
0.853,0.059500000000000004,0.48850000000000005,0.00781098033129606,0.01562196066259212
0.853,0.059500000000000004,0.505,0.00773661696610351,0.01547323393220702
0.853,0.059500000000000004,0.5215000000000001,0.007664296324169548,0.015328592648339096
0.853,0.059500000000000004,0.538,0.007593945557889352,0.015187891115778705
0.853,0.059500000000000004,0.5545,0.0075254956727736026,0.015050991345547205
0.853,0.059500000000000004,0.5710000000000001,0.007458881217781924,0.014917762435563848
0.853,0.059500000000000004,0.5875,0.007394040012801417,0.014788080025602834
0.853,0.059500000000000004,0.6040000000000001,0.007330912907210062,0.014661825814420123
0.853,0.059500000000000004,0.6205,0.007269443564685001,0.014538887129370001
0.853,0.059500000000000004,0.637,0.007209578270352818,0.014419156540705635
0.853,0.059500000000000004,0.6535000000000001,0.007151265757085288,0.014302531514170576
0.853,0.059500000000000004,0.67,0.007094457048332493,0.014188914096664985
0.853,0.059500000000000004,0.6865,0.007039105315307015,0.01407821063061403
0.853,0.059500000000000004,0.7030000000000001,0.0069851657467381095,0.013970331493476219
0.853,0.059500000000000004,0.7195,0.006932595429651572,0.013865190859303144
0.853,0.059500000000000004,0.736,0.006881353239915158,0.013762706479830316
0.853,0.059500000000000004,0.7525000000000001,0.006831399741437921,0.013662799482875842
0.853,0.059500000000000004,0.769,0.006782697093119579,0.013565394186239157
0.853,0.059500000000000004,0.7855000000000001,0.006735208962704035,0.01347041792540807
0.853,0.059500000000000004,0.802,0.0066889004468889445,0.013377800893777889
0.853,0.059500000000000004,0.8185,0.006643737997050339,0.013287475994100678
0.853,0.059500000000000004,0.8350000000000001,0.006599689350073036,0.013199378700146073
0.853,0.059500000000000004,0.8515,0.006556723463816548,0.013113446927633096
0.853,0.059500000000000004,0.8680000000000001,0.006514810456801403,0.013029620913602807
0.853,0.059500000000000004,0.8845000000000001,0.006473921551775486,0.012947843103550972
0.853,0.059500000000000004,0.901,0.006434029022800089,0.012868058045600178
0.853,0.059500000000000004,0.9175000000000001,0.006395106145612197,0.012790212291224394
0.853,0.059500000000000004,0.934,0.006357127150961434,0.012714254301922868
0.853,0.059500000000000004,0.9505,0.006320067180730236,0.012640134361460472
0.853,0.059500000000000004,0.9670000000000001,0.006283902246596546,0.012567804493193092
0.853,0.059500000000000004,0.9835,0.006248609191069773,0.012497218382139547
0.853,0.059500000000000004,1.0,0.006214165650719725,0.01242833130143945
0.853,0.076,0.01,0.014271947334413717,0.028543894668827435
0.853,0.076,0.026500000000000003,0.012043452668508153,0.024086905337016306
0.853,0.076,0.043000000000000003,0.01136299116681758,0.02272598233363516
0.853,0.076,0.059500000000000004,0.01095075482491243,0.02190150964982486
0.853,0.076,0.076,0.010637604691024321,0.021275209382048643
0.853,0.076,0.0925,0.010374713435209263,0.020749426870418527
0.853,0.076,0.109,0.010142547133701222,0.020285094267402444
0.853,0.076,0.1255,0.00993163281712108,0.01986326563424216
0.853,0.076,0.14200000000000002,0.00973673073764258,0.01947346147528516
0.853,0.076,0.15850000000000003,0.00955464464049621,0.01910928928099242
0.853,0.076,0.17500000000000002,0.009383269392834043,0.018766538785668085
0.853,0.076,0.1915,0.009221129891404292,0.018442259782808584
0.853,0.076,0.20800000000000002,0.009067138583083532,0.018134277166167063
0.853,0.076,0.22450000000000003,0.008920459225528758,0.017840918451057515
0.853,0.076,0.24100000000000002,0.008780426048119346,0.017560852096238692
0.853,0.076,0.2575,0.008646493524416257,0.017292987048832514
0.853,0.076,0.274,0.00851820390156691,0.01703640780313382
0.853,0.076,0.29050000000000004,0.008395165467055958,0.016790330934111915
0.853,0.076,0.30700000000000005,0.008277037546585493,0.016554075093170986
0.853,0.076,0.3235,0.008163519857659184,0.01632703971531837
